"GroupDisplayName","GroupId","MemberId","MemberType","DisplayName","UserPrincipalName","Mail"
"All Users","1901a67f-fd7a-489e-b03a-f1fa8c79907f","6bd62521-b7b1-4139-a2ca-4d6952d27e4c","#microsoft.graph.user","jeremy fontenot","jeremyfontenot@jeremyfontenot.online","jeremyfontenot@jeremyfontenot.online"
"All Users","1901a67f-fd7a-489e-b03a-f1fa8c79907f","7eb6d0f6-8634-4a39-bb73-04dcddf61658","#microsoft.graph.user","User One","user1@jeremyfontenot.online","user1@jeremyfontenot.online"
"All Users","1901a67f-fd7a-489e-b03a-f1fa8c79907f","eea4cece-82af-46b8-8533-2d9eee4558db","#microsoft.graph.user","User Two","user2@jeremyfontenot.online","user2@jeremyfontenot.online"
"All Users","1901a67f-fd7a-489e-b03a-f1fa8c79907f","79189112-d458-4f62-ac4b-e079feb97623","#microsoft.graph.user","Lab Shared Mailbox","labshared@jeremyfontenot.online","labshared@jeremyfontenot.online"
"All Users","1901a67f-fd7a-489e-b03a-f1fa8c79907f","e384b54b-30f9-4334-ab2b-484b468f8ad9","#microsoft.graph.user","Arturo Torres","Arturo.Torres@jeremyfontenot.online",
"All Users","1901a67f-fd7a-489e-b03a-f1fa8c79907f","d4f9a9fe-894d-4600-8015-85725a50239b","#microsoft.graph.user","Passion Fontenot","Passion.Fontenot@jeremyfontenot.online","Passion.Fontenot@jeremyfontenot.online"
"All Users","1901a67f-fd7a-489e-b03a-f1fa8c79907f","dfdc4adc-415b-4006-bbf9-b6c73f233519","#microsoft.graph.user","Jeremy Fontenot","Jeremy.Fontenot-Admin@jeremyfontenot.online","Jeremy.Fontenot-Admin@jeremyfontenot.online"
"jeremy fontenot","1caa8b2e-d32f-45c2-8278-79a113e3ebd6","6bd62521-b7b1-4139-a2ca-4d6952d27e4c","#microsoft.graph.user","jeremy fontenot","jeremyfontenot@jeremyfontenot.online","jeremyfontenot@jeremyfontenot.online"
"jeremy fontenot","1caa8b2e-d32f-45c2-8278-79a113e3ebd6","7eb6d0f6-8634-4a39-bb73-04dcddf61658","#microsoft.graph.user","User One","user1@jeremyfontenot.online","user1@jeremyfontenot.online"
"jeremy fontenot","1caa8b2e-d32f-45c2-8278-79a113e3ebd6","eea4cece-82af-46b8-8533-2d9eee4558db","#microsoft.graph.user","User Two","user2@jeremyfontenot.online","user2@jeremyfontenot.online"
"jeremy fontenot","1caa8b2e-d32f-45c2-8278-79a113e3ebd6","e384b54b-30f9-4334-ab2b-484b468f8ad9","#microsoft.graph.user","Arturo Torres","Arturo.Torres@jeremyfontenot.online",
"jeremy fontenot","1caa8b2e-d32f-45c2-8278-79a113e3ebd6","d4f9a9fe-894d-4600-8015-85725a50239b","#microsoft.graph.user","Passion Fontenot","Passion.Fontenot@jeremyfontenot.online","Passion.Fontenot@jeremyfontenot.online"
"jeremy fontenot","1caa8b2e-d32f-45c2-8278-79a113e3ebd6","dfdc4adc-415b-4006-bbf9-b6c73f233519","#microsoft.graph.user","Jeremy Fontenot","Jeremy.Fontenot-Admin@jeremyfontenot.online","Jeremy.Fontenot-Admin@jeremyfontenot.online"
"Lab-Security-Users","225f0e7a-891a-45d8-93e8-5432cdd24ae8","7eb6d0f6-8634-4a39-bb73-04dcddf61658","#microsoft.graph.user","User One","user1@jeremyfontenot.online","user1@jeremyfontenot.online"
"Lab-Security-Users","225f0e7a-891a-45d8-93e8-5432cdd24ae8","eea4cece-82af-46b8-8533-2d9eee4558db","#microsoft.graph.user","User Two","user2@jeremyfontenot.online","user2@jeremyfontenot.online"
"All Company","2d7db495-9da8-41be-878a-531ea451a5f4","6bd62521-b7b1-4139-a2ca-4d6952d27e4c","#microsoft.graph.user","jeremy fontenot","jeremyfontenot@jeremyfontenot.online","jeremyfontenot@jeremyfontenot.online"
"SG-Block-Legacy-Auth","ca11c143-c4e7-494d-b794-6d6032a95e0c","6bd62521-b7b1-4139-a2ca-4d6952d27e4c","#microsoft.graph.user","jeremy fontenot","jeremyfontenot@jeremyfontenot.online","jeremyfontenot@jeremyfontenot.online"
"Lab-M365-Group","f17860b1-f8b6-4449-b688-bc76848dda0c","7eb6d0f6-8634-4a39-bb73-04dcddf61658","#microsoft.graph.user","User One","user1@jeremyfontenot.online","user1@jeremyfontenot.online"
"Lab-M365-Group","f17860b1-f8b6-4449-b688-bc76848dda0c","eea4cece-82af-46b8-8533-2d9eee4558db","#microsoft.graph.user","User Two","user2@jeremyfontenot.online","user2@jeremyfontenot.online"
